Year,GDP_pct_growth
1984,7.236620002
1985,4.169655957
1986,3.462651704
1987,3.459572561
1988,4.177046379
1989,3.67265633
1990,1.885960325
1991,-0.108259111
1992,3.522442502
1993,2.752844325
1994,4.028839066
1995,2.684287126
1996,3.772501321
1997,4.44721634
1998,4.481407561
1999,4.753235983
2000,4.127484017
2001,0.998340792
2002,1.741695251
2003,2.861210768
2004,3.798891125
2005,3.513213799
2006,2.854972294
2007,1.876171454
2008,-0.136579803
2009,-2.536757067
2010,2.56376656
2011,1.550835505
2012,2.249545852
2013,1.842081071
2014,2.525973446
2015,3.07551465
2016,1.711426774
2017,2.332679395
2018,2.996464352
2019,2.161176515
2020,-3.486139557
