Series ID,Year,Period,Label,Value,12-Month % Change
CXUTOTALEXPLB0105M,1984,A01,1984 Annual,26138, N/A
CXUTOTALEXPLB0105M,1985,A01,1985 Annual,27760,6.2
CXUTOTALEXPLB0105M,1986,A01,1986 Annual,28698,3.4
CXUTOTALEXPLB0105M,1987,A01,1987 Annual,29603,3.2
CXUTOTALEXPLB0105M,1988,A01,1988 Annual,32084,8.4
CXUTOTALEXPLB0105M,1989,A01,1989 Annual,34231,6.7
CXUTOTALEXPLB0105M,1990,A01,1990 Annual,34265,0.1
CXUTOTALEXPLB0105M,1991,A01,1991 Annual,36151,5.5
CXUTOTALEXPLB0105M,1992,A01,1992 Annual,36094,-0.2
CXUTOTALEXPLB0105M,1993,A01,1993 Annual,37299,3.3
CXUTOTALEXPLB0105M,1994,A01,1994 Annual,39033,4.6
CXUTOTALEXPLB0105M,1995,A01,1995 Annual,39395,0.9
CXUTOTALEXPLB0105M,1996,A01,1996 Annual,41965,6.5
CXUTOTALEXPLB0105M,1997,A01,1997 Annual,42846,2.1
CXUTOTALEXPLB0105M,1998,A01,1998 Annual,43811,2.3
CXUTOTALEXPLB0105M,1999,A01,1999 Annual,45998,5.0
CXUTOTALEXPLB0105M,2000,A01,2000 Annual,46794,1.7
CXUTOTALEXPLB0105M,2001,A01,2001 Annual,48722,4.1
CXUTOTALEXPLB0105M,2002,A01,2002 Annual,50432,3.5
CXUTOTALEXPLB0105M,2003,A01,2003 Annual,50468,0.1
CXUTOTALEXPLB0105M,2004,A01,2004 Annual,50974,1.0
CXUTOTALEXPLB0105M,2005,A01,2005 Annual,54354,6.6
CXUTOTALEXPLB0105M,2006,A01,2006 Annual,55697,2.5
CXUTOTALEXPLB0105M,2007,A01,2007 Annual,57285,2.9
CXUTOTALEXPLB0105M,2008,A01,2008 Annual,58632,2.4
CXUTOTALEXPLB0105M,2009,A01,2009 Annual,56879,-3.0
CXUTOTALEXPLB0105M,2010,A01,2010 Annual,55212,-2.9
CXUTOTALEXPLB0105M,2011,A01,2011 Annual,57460,4.1
CXUTOTALEXPLB0105M,2012,A01,2012 Annual,59980,4.4
CXUTOTALEXPLB0105M,2013,A01,2013 Annual,58842,-1.9
CXUTOTALEXPLB0105M,2014,A01,2014 Annual,60417,2.7
CXUTOTALEXPLB0105M,2015,A01,2015 Annual,63671,5.4
CXUTOTALEXPLB0105M,2016,A01,2016 Annual,64910,1.9
CXUTOTALEXPLB0105M,2017,A01,2017 Annual,67604,4.2
CXUTOTALEXPLB0105M,2018,A01,2018 Annual,69131,2.3
CXUTOTALEXPLB0105M,2019,A01,2019 Annual,71173,3.0
CXUTOTALEXPLB0105M,2020,A01,2020 Annual,71942,1.1
