Series ID,Year,Period,Label,Value
CXUTOTALEXPLB0102M,1984,A01,1984 Annual,10894
CXUTOTALEXPLB0102M,1985,A01,1985 Annual,11417
CXUTOTALEXPLB0102M,1986,A01,1986 Annual,11477
CXUTOTALEXPLB0102M,1987,A01,1987 Annual,10355
CXUTOTALEXPLB0102M,1988,A01,1988 Annual,10893
CXUTOTALEXPLB0102M,1989,A01,1989 Annual,12119
CXUTOTALEXPLB0102M,1990,A01,1990 Annual,12909
CXUTOTALEXPLB0102M,1991,A01,1991 Annual,13464
CXUTOTALEXPLB0102M,1992,A01,1992 Annual,12643
CXUTOTALEXPLB0102M,1993,A01,1993 Annual,13957
CXUTOTALEXPLB0102M,1994,A01,1994 Annual,14356
CXUTOTALEXPLB0102M,1995,A01,1995 Annual,14607
CXUTOTALEXPLB0102M,1996,A01,1996 Annual,15896
CXUTOTALEXPLB0102M,1997,A01,1997 Annual,16008
CXUTOTALEXPLB0102M,1998,A01,1998 Annual,16630
CXUTOTALEXPLB0102M,1999,A01,1999 Annual,16750
CXUTOTALEXPLB0102M,2000,A01,2000 Annual,17940
CXUTOTALEXPLB0102M,2001,A01,2001 Annual,18883
CXUTOTALEXPLB0102M,2002,A01,2002 Annual,19061
CXUTOTALEXPLB0102M,2003,A01,2003 Annual,18492
CXUTOTALEXPLB0102M,2004,A01,2004 Annual,17837
CXUTOTALEXPLB0102M,2005,A01,2005 Annual,19120
CXUTOTALEXPLB0102M,2006,A01,2006 Annual,20410
CXUTOTALEXPLB0102M,2007,A01,2007 Annual,20471
CXUTOTALEXPLB0102M,2008,A01,2008 Annual,22304
CXUTOTALEXPLB0102M,2009,A01,2009 Annual,21611
CXUTOTALEXPLB0102M,2010,A01,2010 Annual,20953
CXUTOTALEXPLB0102M,2011,A01,2011 Annual,22001
CXUTOTALEXPLB0102M,2012,A01,2012 Annual,22154
CXUTOTALEXPLB0102M,2013,A01,2013 Annual,22393
CXUTOTALEXPLB0102M,2014,A01,2014 Annual,23713
CXUTOTALEXPLB0102M,2015,A01,2015 Annual,24470
CXUTOTALEXPLB0102M,2016,A01,2016 Annual,25138
CXUTOTALEXPLB0102M,2017,A01,2017 Annual,26019
CXUTOTALEXPLB0102M,2018,A01,2018 Annual,26399
CXUTOTALEXPLB0102M,2019,A01,2019 Annual,28672
CXUTOTALEXPLB0102M,2020,A01,2020 Annual,28724
